Day,Month,Year,MinPressure,MaxPressure,MinVapour,MaxVapour,MinRelativeHumidity,MaxRelativeHumidity,MinTemperature,MaxTemperature,Rain,MinRadiation,MaxRadiation
1,1,1989,1013.9,1018.9,15.8,15.1,67,71,25.5,14.1,0,,
2,1,1989,1015.5,1017.5,14.3,16.5,51,77,26.3,15,0,,
3,1,1989,1013.8,1017.5,15.2,16.9,57,77,26.5,13.7,0,,
4,1,1989,1013.8,1017.9,15.1,14.9,54,70,27.7,15.3,0,,
5,1,1989,1014.1,1017,15.8,15.2,59,70,25.4,13.9,0,,
6,1,1989,1012.6,1014.6,15.3,15.8,59,70,25.9,13.6,0,,
7,1,1989,1011.6,1014.6,17.4,19.4,63,94,27,14.3,0,,
8,1,1989,1010.1,1016,19.7,20.6,65,24,27.8,15,0,,
9,1,1989,1011.7,1014.3,15.5,19.5,50,86,28.1,15.6,0,,
10,1,1989,1010.5,1015.6,17.8,11.4,64,60,26,13.8,0,,
11,1,1989,1011.6,1015.4,10.9,11.6,50,68,22.5,9.4,0,,
12,1,1989,1012.1,1016.7,10.8,11.2,52,66,22.2,10.2,0,,
13,1,1989,1015.2,1020.4,9.7,9.3,49,54,21,9.7,0,,
14,1,1989,1015.5,1017.5,8.7,10.7,45,60,21,8,0,,
15,1,1989,1012.7,1017.6,8.9,11.1,45,67,23,8.3,0,,
16,1,1989,1012.6,1016.5,10.8,11,46,58,23.9,10.3,0,,
17,1,1989,1011.5,1015.7,13.5,14.1,56,74,25.1,13,0,,
18,1,1989,1011.7,1016.2,11.9,10.7,54,55,25.1,10,0,,
19,1,1989,1012.6,1014.8,9.9,10.1,43,56,24,9.8,0,,
20,1,1989,1010.5,1013.9,10.9,12.8,47,69,23.8,10.1,0,,
21,1,1989,1009.3,1015.4,10.9,10.9,46,64,23.8,9.6,0,,
22,1,1989,1012.1,1015.4,10.9,10.9,46,64,23.8,9.6,0,,
23,1,1989,1009.6,1013.7,10.2,10.6,44,62,23.2,9.8,0,,
24,1,1989,1009.3,1013.8,11.3,12.4,49,64,23.2,9.8,0,,
25,1,1989,1010.4,1014.5,12.9,10.9,54,57,24.5,10.2,0,,
26,1,1989,1011.6,1015.4,12.5,10.7,52,63,25.6,10.2,0,,
27,1,1989,1012.8,1016.2,12.9,13.6,47,70,26.6,11.4,1.8,,
28,1,1989,1012.3,1017.4,14.1,11.5,50,59,27.5,10.9,0,,
29,1,1989,1013.3,1016.7,11.5,11.2,41,56,25.2,10.4,0,,
30,1,1989,1013.5,1017.7,11.6,11.9,43,61,27,11.3,0,,
31,1,1989,1013.4,1016.3,10.1,11.5,38,59,25.6,10.5,0,,
1,2,1989,1012.5,1015,13,11.8,47,53,26.2,10.8,0,,
2,2,1989,1010.7,1013.5,13.6,16.6,45,100,28.4,11.8,0,,
3,2,1989,1009.5,1013.5,14.7,12.2,45,46,30.1,13.8,0,,
4,2,1989,1008.9,1012.3,13.2,15.4,40,65,28.2,12.8,0,,
5,2,1989,1007.6,1010.2,12.5,16.8,37,63,29.2,12.4,0,,
6,2,1989,1006.4,1010.5,14.3,23.4,41,81,32.6,20,0,,
7,2,1989,1007.9,1013.4,18.1,13.7,47,46,32,18.6,0,,
8,2,1989,1010.7,1015.1,14.3,13.2,36,49,32,17.8,0,,
9,2,1989,1012.2,1017.1,13.6,10.6,40,41,29.4,15.8,0,,
10,2,1989,1013.5,1016.9,12.4,22.5,31,96,28.2,17.3,0,,
11,2,1989,1012.7,1016.7,18.1,12.8,56,51,29,16.8,0,,
12,2,1989,1012.1,1015.6,15.8,11.1,50,44,28,18,0,,
